Name,Launch Site,State,Latitude,Longitude,Day,Year
"CINEMA-1 (Cubesat for Ion, Neutral, Electron, Magnetic fields)",Vandenberg AFB,California,34.7425933,-120.5155986,20120913,2012
CLIO (USA 257),Cape Canaveral,Florida,28.45077,-80.52662,20140916,2014
Cloudsat,Vandenberg AFB,California,34.7425933,-120.5155986,20060428,2006
Columbia (QB50 - US04),International Space Center,Texas,29.5517223,-95.0985272,20170418,2017
"COMS-1 (Communication, Ocean and Meteorological Satellite; Cheollian)",Guiana Space Center,French Guiana,5.21237515,-52.77388327,20100626,2010
COMSATBw-1 (COmmunications SATellite f_r BundesWehr),Guiana Space Center,French Guiana,5.21237515,-52.77388327,20091001,2009
COMSATBw-2 (COmmunications SATellite f_r BundesWehr),Guiana Space Center,French Guiana,5.21237515,-52.77388327,20100521,2010
Coriolis (Windsat),Vandenberg AFB,California,34.7425933,-120.5155986,20030106,2003
"COSMIC-A (Formosat-3A, Constellation Observing System for Meteorology, Ionosphere and Climate)",Vandenberg AFB,California,34.7425933,-120.5155986,20060415,2006
"COSMIC-B (Formosat-3B, Constellation Observing System for Meteorology, Ionosphere and Climate)",Vandenberg AFB,California,34.7425933,-120.5155986,20060415,2006
"COSMIC-D (Formosat-3D, Constellation Observing System for Meteorology, Ionosphere and Climate)",Vandenberg AFB,California,34.7425933,-120.5155986,20060415,2006
"COSMIC-E (Formosat-3E, Constellation Observing System for Meteorology, Ionosphere and Climate)",Vandenberg AFB,California,34.7425933,-120.5155986,20060415,2006
"COSMIC-F (Formosat-3F, Constellation Observing System for Meteorology, Ionosphere and Climate)",Vandenberg AFB,California,34.7425933,-120.5155986,20060415,2006
COSMO-Skymed 1 (Constellation of small Satellites for Mediterranean basin Observation),Vandenberg AFB,California,34.7425933,-120.5155986,20070608,2007
COSMO-Skymed 2 (Constellation of small Satellites for Mediterranean basin Observation),Vandenberg AFB,California,34.7425933,-120.5155986,20071209,2007
COSMO-Skymed 3 (Constellation of small Satellites for Mediterranean basin Observation),Vandenberg AFB,California,34.7425933,-120.5155986,20081025,2008
COSMO-Skymed 4 (Constellation of small Satellites for Mediterranean basin Observation),Vandenberg AFB,California,34.7425933,-120.5155986,20101106,2010
CP-10 (Exocube),Vandenberg AFB,California,34.7425933,-120.5155986,20150131,2015
CSUNSAT-1 (California State University at Northridge Satellite),International Space Center,Texas,29.5517223,-95.0985272,20170518,2017
CUSat-1 (Cornell University Satellite 1),Vandenberg AFB,California,34.7425933,-120.5155986,20130929,2013
CXBN-2 (Cosmic X-Ray Background Nanosatellite-2),International Space Center,Texas,29.5517223,-95.0985272,20170418,2017
CYGNSS FM01 (Cyclone Global Navigation Satellite System),Orbital ATK,California,39.01197615,-77.4309897,20161215,2016
CYGNSS FM02 (Cyclone Global Navigation Satellite System),Orbital ATK,California,39.01197615,-77.4309897,20161215,2016
CYGNSS FM03 (Cyclone Global Navigation Satellite System),Orbital ATK,California,39.01197615,-77.4309897,20161215,2016
CYGNSS FM04 (Cyclone Global Navigation Satellite System),Orbital ATK,California,39.01197615,-77.4309897,20161215,2016
CYGNSS FM05 (Cyclone Global Navigation Satellite System),Orbital ATK,California,39.01197615,-77.4309897,20161215,2016
CYGNSS FM06 (Cyclone Global Navigation Satellite System),Orbital ATK,California,39.01197615,-77.4309897,20161215,2016
CYGNSS FM07 (Cyclone Global Navigation Satellite System),Orbital ATK,California,39.01197615,-77.4309897,20161215,2016
CYGNSS FM08 (Cyclone Global Navigation Satellite System),Orbital ATK,California,39.01197615,-77.4309897,20161215,2016
DHFR (DARPA High Frequency Receiver),Cape Canaveral,Florida,28.45077,-80.52662,20170826,2017
DirecTV-11,Ocean Odyssey,California,40.012573,-74.151876,20080319,2008
