,name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation,state
648,Garnett,10862,Valid,H4,4788.0,Found,1938.0,38.26667,-95.25,"(38.266670, -95.250000)",US-KS
649,Garrison,10864,Valid,H5,5116.0,Found,1969.0,33.86333,-103.34667,"(33.863330, -103.346670)",US-NM
650,Gaylord,10868,Valid,H4,8480.0,Found,1983.0,39.61667,-98.7,"(39.616670, -98.700000)",US-KS
651,Georgetown,10904,Valid,H6,687.0,Found,1967.0,39.7,-105.7,"(39.700000, -105.700000)",US-CO
652,Gila Bend,30664,Valid,L5,3700.0,Found,2000.0,33.03333,-112.61667,"(33.033330, -112.616670)",US-AZ
653,Gladstone (stone),10921,Valid,H4,57300.0,Found,1936.0,36.3,-104.0,"(36.300000, -104.000000)",US-NM
654,Glasgow,10927,Valid,"Iron, IIIAB",20400.0,Found,1922.0,37.01667,-85.91667,"(37.016670, -85.916670)",US-KY
655,Glasston,10928,Valid,L5,1990.0,Found,1969.0,48.71667,-97.3,"(48.716670, -97.300000)",US-ND
656,Glen Rose (iron),10932,Valid,"Iron, ungrouped",11000.0,Found,1934.0,32.25,-97.71667,"(32.250000, -97.716670)",US-TX
657,Glorieta Mountain,10935,Valid,"Pallasite, PMG-an",148000.0,Found,1884.0,35.6,-105.8,"(35.600000, -105.800000)",US-NM
658,Gold Basin,10940,Valid,L4,61000.0,Found,1995.0,35.875,-114.23333,"(35.875000, -114.233330)",US-NV
659,Golden Mile,10941,Valid,H4,378.8,Found,2000.0,35.89,-114.16667,"(35.890000, -114.166670)",US-NV
660,Golden Rule,10942,Valid,L5,797.6,Found,1999.0,35.87333,-114.2,"(35.873330, -114.200000)",US-NV
661,Goldstone Dry Lake,10943,Valid,H6,1.1,Found,1999.0,35.37333,-116.90833,"(35.373330, -116.908330)",US-NV
662,Gomez,10944,Valid,L6,47000.0,Found,1974.0,33.18139,-102.40139,"(33.181390, -102.401390)",US-TX
663,Goodland,10945,Valid,L4,3628.0,Found,1923.0,39.35,-101.66667,"(39.350000, -101.666670)",US-KS
664,Goose Creek,10946,Valid,H5,2132.3,Found,1999.0,37.435,-98.31833,"(37.435000, -98.318330)",US-KS
